Title,Subject,List,"Send Date","Send Weekday","Total Recipients","Successful Deliveries","Soft Bounces","Hard Bounces","Total Bounces","Times Forwarded","Forwarded Opens","Unique Opens","Open Rate","Total Opens","Unique Clicks","Click Rate","Total Clicks",Unsubscribes,"Abuse Complaints","Times Liked on Facebook","Folder Id","Unique Id","Analytics ROI","Campaign Cost","Revenue Created",Visits,"New Visits",Pages/Visit,"Bounce Rate","Time on Site","Goal Conversion Rate","Per Visit Goal Value",Transactions,"Ecommerce Conversion Rate","Per Visit Value","Average Value"
"Free Shipping Doorbusters (copy 07)","Last Chance: Free Shipping on every order !",PetFlow,"Jan 10, 2014 09:00 am",Friday,265463,265302,109,52,161,2,0,14014,5.28%,19829,1361,0.51%,1676,220,64,0,0,6b547914fa,"12,621.00%",$95.26,"$12,023.00",1667,504,19.54949010198,1.32%,07:30,12.24%,$0.00,199,11.94%,$7.21,$60.42
"Free Shipping Doorbusters (copy 08)","Last Chance: Free Shipping on every order !","Facebook Sponsored","Jan 10, 2014 09:00 am",Friday,5508,5477,24,7,31,0,0,470,8.58%,690,74,1.35%,96,16,4,0,0,ca0f5db830,"10,709.54%",$1.98,$211.68,91,25,14.802197802198,7.69%,06:56,7.69%,$0.00,7,7.69%,$2.33,$30.24
"Free Shipping Doorbusters (copy 06)","Last Chance: Free Shipping on every order !","PetFlow Recurring Customers","Jan 10, 2014 08:00 am",Friday,43503,43479,19,5,24,2,5,3353,7.71%,4639,386,0.89%,466,45,8,0,0,2cd05c2d83,"31,369.23%",$15.61,"$4,897.09",532,129,20.872180451128,0.75%,08:01,15.79%,$0.00,77,14.47%,$9.21,$63.60
"Free Shipping Doorbusters (copy 05)","TODAY ONLY: Free Shipping on every order - Expires tonight!","PetFlow Recurring Customers","Jan 09, 2014 09:06 am",Thursday,50607,50589,14,4,18,2,1,8131,16.07%,11618,886,1.75%,1118,63,13,0,0,0bc78ac6a8,"62,786.04%",$18.16,"$11,402.20",1370,285,20.083211678832,2.48%,07:54,17.30%,$0.00,233,17.01%,$8.32,$48.94
"Free Shipping Doorbusters (copy 04)","TODAY ONLY: Free Shipping on every order - Expires tonight!","Lifescript 2","Jan 09, 2014 09:06 am",Thursday,91439,91409,27,3,30,1,0,5777,6.32%,8248,284,0.31%,325,144,57,0,0,9ad8410a06,503.98%,$32.81,$165.37,304,180,10.194078947368,1.64%,03:52,1.64%,$0.00,5,1.64%,$0.54,$33.07
"Free Shipping Doorbusters (copy 03)","TODAY ONLY: Free Shipping on every order - Expires tonight!","Facebook Sponsored","Jan 09, 2014 09:05 am",Thursday,5369,5353,16,0,16,2,0,571,10.67%,832,108,2.02%,130,19,15,0,0,5b293bacc2,"25,903.70%",$1.93,$499.08,123,36,18.39837398374,1.63%,08:55,13.01%,$0.00,15,12.20%,$4.06,$33.27
"Free Shipping Doorbusters (copy 02)","TODAY ONLY: Free Shipping on every order - Expires tonight!",PetFlow,"Jan 09, 2014 09:05 am",Thursday,284865,284728,102,35,137,13,5,23267,8.17%,32627,2470,0.87%,3152,264,76,0,0,693920778b,"22,909.23%",$102.22,"$23,418.80",3343,891,20.091534549806,2.30%,08:12,15.20%,$0.00,507,15.17%,$7.01,$46.19
"LED Lights","150 Left in Stock!  LED Safety Lights for $0.01!  Make your pets safe and visible, this is a MUST for any pet parent! These will sell out!","PetFlow Recurring Customers","Jan 08, 2014 10:18 pm",Wednesday,43359,43334,12,13,25,1,0,3442,7.94%,4727,294,0.68%,377,35,6,0,0,ab26738c4d,"10,025.42%",$15.56,"$1,559.90",407,112,15.95085995086,0.74%,06:40,8.11%,$0.00,32,7.86%,$3.83,$48.75
"LED Lights","150 Left in Stock!  LED Safety Lights for $0.01!  Make your pets safe and visible, this is a MUST for any pet parent! These will sell out!",PetFlow,"Jan 08, 2014 10:16 pm",Wednesday,260681,260477,98,106,204,4,6,13407,5.15%,19285,1342,0.52%,1745,177,45,0,0,32c646738d,"4,688.45%",$93.55,"$4,385.85",1735,722,11.590778097983,2.77%,05:32,5.76%,$0.00,98,5.65%,$2.53,$44.75
"Save $15 Auto-Ship (copy 03)","Your $15 of savings is inside.  Lock it in now.",LifeScript,"Jan 08, 2014 09:51 am",Wednesday,64369,64339,19,11,30,1,2,4383,6.81%,5873,180,0.28%,219,70,22,0,0,741611e380,"1,628.56%",$23.10,$376.18,194,126,10.953608247423,1.55%,04:15,2.58%,$0.00,5,2.58%,$1.94,$75.24
"Save $15 Auto-Ship (copy 02)","Your $15 of savings is inside.  Lock it in now.","Lifescript 2","Jan 08, 2014 09:50 am",Wednesday,91664,91621,33,10,43,0,0,6738,7.35%,9469,290,0.32%,345,186,47,0,0,d1f6dcd36c,596.13%,$32.89,$196.09,313,178,8.7891373801917,2.88%,03:52,0.64%,$0.00,2,0.64%,$0.63,$98.05
"Save $15 Auto-Ship (copy 01)","Your $15 of savings is inside.  Lock it in now.","Facebook Sponsored","Jan 08, 2014 09:49 am",Wednesday,5444,5412,18,14,32,0,0,839,15.50%,1154,61,1.13%,72,53,10,0,0,be2070a01f,"5,722.29%",$1.95,$111.79,75,17,12.013333333333,4.00%,06:02,4.00%,$0.00,3,4.00%,$1.49,$37.26
"Save $15 Auto-Ship","Your $15 of savings is inside.  Lock it in now.",PetFlow,"Jan 08, 2014 09:39 am",Wednesday,273098,272927,130,41,171,6,2,27014,9.90%,36182,1228,0.45%,1504,270,53,0,0,d0a53bdd77,"10,373.09%",$98.00,"$10,165.80",1539,496,16.808317089019,2.53%,05:52,9.29%,$0.00,142,9.23%,$6.61,$71.59
"LED Lights (copy 06)","LED Safety Lights for $0.01 Available Right now!  Make your pets safe and visible, this is a MUST for any pet parent! These will sell out!","Facebook Sponsored","Jan 07, 2014 05:31 pm",Tuesday,4733,4717,9,7,16,0,0,685,14.52%,1141,157,3.33%,219,26,6,0,0,765c05b025,"28,235.83%",$1.70,$479.57,198,76,15.914141414141,7.58%,06:18,7.58%,$0.00,15,7.58%,$2.42,$31.97
"LED Lights (copy 05)","LED Safety Lights for $0.01 Available Right now!  Make your pets safe and visible, this is a MUST for any pet parent! These will sell out!","PetFlow Recurring Customers","Jan 07, 2014 12:52 pm",Tuesday,50672,50659,9,4,13,1,1,8025,15.84%,10696,610,1.20%,783,66,5,0,0,d6eef1268a,"20,962.42%",$18.18,"$3,811.75",891,222,14.859708193042,1.12%,06:21,8.42%,$0.00,73,8.19%,$4.28,$52.22
"LED Lights","LED Safety Lights for $0.01 Available Right now!  Make your pets safe and visible, this is a MUST for any pet parent! These will sell out!",PetFlow,"Jan 07, 2014 12:34 pm",Tuesday,284395,284221,145,29,174,8,2,27088,9.53%,36948,2575,0.91%,3413,288,50,0,0,034f21aa9b,"10,704.06%",$102.06,"$10,924.10",3418,1255,12.396723229959,2.95%,05:30,6.96%,$0.00,240,7.02%,$3.20,$45.52
"LED Lights (copy 04)","LED Safety Lights for $0.01 Available Right now!  Make your pets safe and visible, this is a MUST for any pet parent!","National Recall Notification","Jan 07, 2014 09:15 am",Tuesday,17981,17902,36,43,79,1,3,1970,11.00%,2842,209,1.17%,260,48,28,0,0,c66705736d,"2,857.34%",$6.45,$184.37,275,145,9.44,3.27%,04:06,2.55%,$0.00,7,2.55%,$0.67,$26.34
"LED Lights (copy 03)","LED Safety Lights for $0.01 Available Right now!  Make your pets safe and visible, this is a MUST for any pet parent!",LifeScript,"Jan 07, 2014 09:14 am",Tuesday,64503,64427,24,52,76,0,0,3933,6.10%,5204,338,0.52%,494,65,32,0,0,3a53696ec3,428.35%,$23.15,$99.15,405,241,10.301234567901,0.25%,05:27,0.99%,$0.00,4,0.99%,$0.24,$24.79
"LED Lights (copy 02)","LED Safety Lights for $0.01 Available Right now!  Make your pets safe and visible, this is a MUST for any pet parent!","Pet Deals 2","Jan 07, 2014 09:13 am",Tuesday,9331,9273,26,32,58,1,1,1348,14.54%,2065,233,2.51%,301,35,8,0,0,9ac435a2f1,"9,779.17%",$3.35,$327.45,277,154,8.0180505415162,0.72%,04:14,2.89%,$0.00,8,2.89%,$1.18,$40.93
"LED Lights","LED Safety Lights for $0.01 Available Right now!  Make your pets safe and visible, this is a MUST for any pet parent!","Lifescript 2","Jan 07, 2014 09:13 am",Tuesday,91902,91821,36,45,81,9,2,6284,6.84%,9290,678,0.74%,957,173,45,0,0,42e81f8af3,"1,562.83%",$32.98,$515.41,819,515,8.5128205128205,1.47%,04:31,1.95%,$0.00,15,1.83%,$0.63,$34.36
"Canine Caviar Available Now","Up to 61% savings on top selling dog chews.  Available for the first time in 3 months!","PetFlow Recurring Customers","Jan 07, 2014 09:00 am",Tuesday,43694,43677,10,7,17,0,0,6306,14.44%,7933,216,0.49%,254,43,3,0,0,06419be25b,"17,248.97%",$15.68,"$2,704.58",307,69,17.85342019544,1.95%,06:37,10.75%,$0.00,31,10.10%,$8.81,$87.24
"Canine Caviar Available","Up to 61% savings on top selling dog chews.  Available for the first time in 3 months!",PetFlow,"Jan 07, 2014 08:00 am",Tuesday,268228,268010,167,51,218,1,1,22387,8.35%,27333,574,0.21%,674,297,53,0,0,204f48c6c2,"3,957.96%",$96.25,"$3,809.70",696,214,10.728448275862,2.30%,04:46,7.33%,$0.00,52,7.47%,$5.47,$73.26
"Pet Corrector - In Stock Now!","#1 Training Aid - In stock now at 50% off.  Over 16,000 sold!","PetFlow Recurring Customers","Jan 06, 2014 11:34 am",Monday,50760,50722,14,24,38,4,2,8654,17.06%,11748,639,1.26%,925,83,9,0,0,c0b2859d59,"19,246.94%",$18.22,"$3,505.89",924,209,11.969696969697,5.84%,04:54,7.47%,$0.00,65,7.03%,$3.79,$53.94
"Pet Corrector","#1 Training Aid - In stock now at 50% off.  Over 16,000 sold!",PetFlow,"Jan 06, 2014 09:52 am",Monday,284634,284428,144,62,206,7,6,27011,9.50%,36201,1822,0.64%,2604,413,49,0,0,874ffb120c,"7,330.21%",$102.14,"$7,487.18",2308,788,9.1477469670711,1.99%,03:55,5.85%,$0.00,130,5.63%,$3.24,$57.59
"Bully Stick Sale Last Chance","Only 480 left in stock! - Bully Sticks at 81% off - Please order ASAP","Special Products Customers","Jan 06, 2014 08:36 am",Monday,66903,66655,223,25,248,3,0,10305,15.46%,14084,1033,1.55%,1222,374,59,0,0,3c933241ae,"47,444.10%",$24.01,"$11,390.50",1470,432,12.506802721088,3.88%,05:40,13.88%,$0.00,197,13.40%,$7.75,$57.82
"Save 15% (copy 07)","Last Chance!! - Save 15% on Blue Buffalo, Wellness, Natural Balance, Royal Canin and Canidae Dog and Cat Food and Treats!","Brand Lists","Jan 05, 2014 06:06 pm",Sunday,70866,70641,158,67,225,4,0,10012,14.17%,13242,586,0.83%,735,364,60,0,0,fdeb367355,"34,286.04%",$25.43,"$8,719.07",784,287,17.539540816327,2.68%,06:010,15.82%,$0.00,121,15.43%,$11.12,$72.06
"Save 15% Last Chance","Last Chance! - Save 15% on brands like Blue Buffalo, Wellness, Natural Balance, Royal Canin and Canidae Dog and Cat Food and more!!",PetFlow,"Jan 05, 2014 06:04 pm",Sunday,281733,281299,135,299,434,10,5,27649,9.83%,38425,1756,0.62%,2181,365,68,0,0,0e3ad706b8,"19,374.91%",$101.10,"$19,588.10",2404,799,15.428868552413,3.37%,05:52,10.94%,$0.00,259,10.77%,$8.15,$75.63
"Save 15% - One day sale. (copy 06)","Last Chance! - Save 15% on Blue Buffalo, Wellness, Natural Balance, Royal Canin and Canidae Dog and Cat Food and Treats!",PetFlow,"Jan 04, 2014 09:54 am",Saturday,2622,2621,1,0,1,0,0,824,31.44%,1474,211,8.05%,290,4,2,0,0,6155d17c38,"191,654.01%",$0.94,"$1,803.29",299,54,17.247491638796,1.00%,07:12,9.03%,$0.00,27,9.03%,$6.03,$66.79
"Bully Stick Sale (copy 10)","LIVE NOW: Bully Sticks at 81% off - In stock now!","Special Products Customers","Jan 04, 2014 09:00 am",Saturday,2983,2982,1,0,1,0,0,1011,33.90%,1810,327,10.97%,409,22,3,0,0,17b4a7e03f,"308,170.96%",$1.07,"$3,298.83",431,78,15.248259860789,1.62%,06:54,14.15%,$0.00,59,13.69%,$7.65,$55.91
"Save 15%","There's still time to order - Save 15% on Blue Buffalo, Wellness, Natural Balance, Royal Canin and Canidae Dog and Cat Food and Treats!","Brand Lists","Jan 04, 2014 09:00 am",Saturday,1511,1511,0,0,0,1,2,604,39.97%,982,137,9.07%,207,16,5,0,0,1cf443aa6a,"492,043.08%",$0.54,"$2,667.98",184,37,25.358695652174,0.00%,09:02,17.93%,$0.00,35,19.02%,$14.50,$76.23
"DoorBusters Sale (copy 01)","Over 20 New Doorbusters LIVE NOW! Up to 99% off - Plus, save an extra 15% with coupon code MYSAVE15","PetFlow Recurring Customers","Jan 03, 2014 08:40 am",Friday,50636,50599,15,22,37,1,2,7792,15.40%,10703,937,1.85%,1113,92,12,0,0,a18ac93bc1,"39,110.52%",$18.17,"$7,106.70",1407,239,14.100213219616,1.63%,05:55,8.74%,$0.00,101,7.18%,$5.05,$70.36
"DoorBusters Sale","Over 20 New Doorbusters LIVE NOW! Up to 99% off - Plus, save an extra 15% with coupon code MYSAVE15",PetFlow,"Jan 03, 2014 08:00 am",Friday,277998,277866,84,48,132,4,1,24564,8.84%,33463,2715,0.98%,3099,350,67,0,0,0bc9c12e37,"12,598.43%",$99.76,"$12,568.20",3485,1047,10.377618364419,2.47%,04:31,5.97%,$0.00,192,5.51%,$3.61,$65.46
"Bully Stick Sale (copy 09)","Still Available: Bully Sticks at 81% off - In stock now!","Special Products Customers","Jan 02, 2014 09:24 pm",Thursday,61124,60918,196,10,206,6,5,6547,10.75%,9819,1041,1.71%,1288,255,58,0,0,49aee9bd8d,"36,580.77%",$21.93,"$8,023.79",1434,466,11.927475592748,2.23%,05:25,10.67%,$0.00,149,10.39%,$5.60,$53.85
"Save 15%","Extended for today - Save 15% on Blue Buffalo, Wellness, Natural Balance, Royal Canin and Canidae Dog and Cat Food and Treats!","Brand Lists","Jan 02, 2014 09:26 am",Thursday,72112,71839,208,65,273,2,2,9956,13.86%,13043,666,0.93%,830,453,43,0,0,65b3217ba6,"48,382.94%",$25.88,"$12,520.30",863,295,21.22943221321,1.27%,06:59,18.54%,$0.00,160,18.54%,$14.51,$78.25
"Save 15% - One day sale. (copy 05)","Extended for today - Save 15% on Blue Buffalo, Wellness, Natural Balance, Royal Canin and Canidae Dog and Cat Food and Treats!",PetFlow,"Jan 02, 2014 09:00 am",Thursday,268008,267885,64,59,123,6,2,20275,7.57%,26211,1069,0.40%,1288,320,60,0,0,243a05475b,"11,913.58%",$96.18,"$11,457.90",1382,474,15.632416787265,2.10%,05:36,11.07%,$0.00,147,10.64%,$8.29,$77.94
"Bully Stick Sale","LIVE NOW: Bully Sticks at 81% off - In stock now!","Special Products Customers","Jan 02, 2014 08:00 am",Thursday,71697,70791,217,689,906,4,2,11889,16.79%,17922,2173,3.07%,2675,548,121,0,0,e4a52e8742,"95,972.23%",$25.73,"$24,692.30",3073,896,11.684672958021,2.83%,05:05,13.77%,$0.00,409,13.31%,$8.04,$60.37
"Save 15% - One day sale. (copy 04)","One Day Sale - Save 15% on Blue Buffalo, Wellness, Natural Balance, Royal Canin and Canidae Dog and Cat Food and Treats!","Pet Deals 2","Dec 31, 2013 12:54 pm",Tuesday,8535,8517,15,3,18,1,1,1199,14.08%,1625,95,1.12%,116,62,8,0,0,1c4f3df2ca,"4,863.53%",$3.06,$148.96,104,53,10.75,0.96%,03:19,1.92%,$0.00,2,1.92%,$1.43,$74.48
"Save 15% - One day sale. (copy 03)","One Day Sale - Save 15% on Blue Buffalo, Wellness, Natural Balance, Royal Canin and Canidae Dog and Cat Food and Treats!","Lifescript 2","Dec 31, 2013 12:53 pm",Tuesday,92343,92301,26,16,42,1,2,6505,7.05%,9117,241,0.26%,292,225,72,0,0,e69742fd71,949.20%,$33.14,$314.54,261,158,10.609195402299,0.00%,04:35,1.92%,$0.00,5,1.92%,$1.21,$62.91
"Save 15% - One day sale. (copy 02)","One Day Sale - Save 15% on Blue Buffalo, Wellness, Natural Balance, Royal Canin and Canidae Dog and Cat Food and Treats!","Brand Lists","Dec 31, 2013 11:39 am",Tuesday,73605,73183,221,201,422,6,9,10961,14.98%,14927,925,1.26%,1174,411,66,0,0,597256ebfd,"63,355.26%",$26.41,"$16,734.20",1192,428,19.586409395973,3.61%,06:33,16.95%,$0.00,198,16.61%,$14.04,$84.52
"Save 15% - One day sale. (copy 01)","One Day Sale - Save 15% on Blue Buffalo, Wellness, Natural Balance, Royal Canin and Canidae Dog and Cat Food and Treats!","Recurring Credit","Dec 31, 2013 11:38 am",Tuesday,13686,13656,13,17,30,3,3,2093,15.33%,2940,160,1.17%,203,105,15,0,0,61361cd51e,"37,555.05%",$4.91,"$1,844.42",212,69,16.962264150943,0.94%,05:46,10.38%,$0.00,22,10.38%,$8.70,$83.84
"Save 15% - One day sale.","One Day Sale - Save 15% on Blue Buffalo, Wellness, Natural Balance, Royal Canin and Canidae Dog and Cat Food and Treats!",PetFlow,"Dec 31, 2013 11:27 am",Tuesday,269830,269676,73,81,154,4,5,23910,8.87%,32037,1660,0.62%,2022,281,69,0,0,e7f4d9b730,"14,996.55%",$96.83,"$14,521.00",2009,644,15.492782478845,1.10%,05:28,10.65%,$0.00,198,9.86%,$7.23,$73.34
"Paused Program","Happy Holidays!  $10 in credit has been added to your account!","Program Pause","Dec 30, 2013 11:11 am",Monday,863,857,1,5,6,0,0,328,38.27%,825,61,7.12%,86,5,2,0,0,61dae80d81,"364,317.11%",$0.31,"$1,128.25",89,27,25.460674157303,6.74%,09:05,15.73%,$0.00,13,14.61%,$12.68,$86.79
"3 hours only (copy 03)","3 Hours Only - Last chance for amazing holiday deals!","Pet Deals 2","Dec 30, 2013 09:48 am",Monday,8447,8427,13,7,20,1,1,1229,14.58%,1661,133,1.58%,139,57,4,0,0,ba8de9f5e7,0.00%,$3.03,$0.00,153,76,9.4248366013072,1.96%,03:06,0.65%,$0.00,0,0.00%,$0.00,$0.00
"3 hours only (copy 02)","3 Hours Only - Last chance for amazing holiday deals!","Lifescript 2","Dec 30, 2013 09:48 am",Monday,92605,92572,19,14,33,0,0,6432,6.95%,8895,328,0.35%,373,180,61,0,0,f10bcc69d5,357.64%,$33.23,$118.85,416,236,6.6201923076923,1.20%,02:24,0.48%,$0.00,2,0.48%,$0.29,$59.43
"3 hours only (copy 01)","3 Hours Only - Last chance for amazing holiday deals!","PetFlow Recurring Customers","Dec 30, 2013 08:30 am",Monday,50325,50305,13,7,20,1,1,7609,15.13%,10048,703,1.40%,829,60,10,0,0,ef5dc0cfa8,"34,309.31%",$18.06,"$6,195.99",972,214,17.106995884774,0.93%,06:35,13.58%,$0.00,110,11.32%,$6.37,$56.33
"3 hours only","3 Hours Only - Last chance for amazing holiday deals!",PetFlow,"Dec 30, 2013 08:00 am",Monday,279900,279776,72,52,124,4,1,23460,8.39%,30407,1686,0.60%,2050,321,69,0,0,6247aa9993,"11,159.91%",$100.44,"$11,209.30",2063,623,13.967038293747,2.33%,05:35,11.92%,$0.00,217,10.52%,$5.43,$51.66
"15% off Royal Canin","Save 15% on Royal Canin","Lifescript 2","Dec 28, 2013 09:00 am",Saturday,93012,92976,25,11,36,2,1,6997,7.53%,9600,179,0.19%,204,343,62,0,0,88440c1213,195.22%,$33.38,$65.16,201,123,8.8557213930348,1.99%,02:50,1.49%,$0.00,2,1.00%,$0.32,$32.58
"15% off Royal Canin (copy 01)","Save 15% on Royal Canin","Pet Deals 2","Dec 28, 2013 09:00 am",Saturday,8339,8318,16,5,21,1,0,1252,15.05%,1769,50,0.60%,53,80,8,0,0,83dd5a259e,"2,104.95%",$2.99,$62.99,69,30,9.7101449275362,0.00%,02:49,1.45%,$0.00,1,1.45%,$0.91,$62.99
"15% off Royal Canin (copy 02)","Save 15% on Royal Canin",LifeScript,"Dec 28, 2013 09:00 am",Saturday,64741,64717,19,5,24,1,0,4285,6.62%,5665,92,0.14%,105,127,30,0,0,15e7c9dee4,0.00%,$23.23,$0.00,115,58,9.0347826086957,3.48%,02:45,0.00%,$0.00,0,0.00%,$0.00,$0.00
"15% off Royal Canin (copy 03)","Save 15% on Royal Canin","Pet Deals","Dec 28, 2013 09:00 am",Saturday,17419,17405,7,7,14,0,0,1331,7.65%,1687,46,0.26%,53,39,8,0,0,08b336bea3,0.00%,$6.25,$0.00,47,26,17.574468085106,2.13%,05:56,0.00%,$0.00,0,0.00%,$0.00,$0.00
"15% off Royal Canin (copy 04)","Save 15% on Royal Canin",PetFlow,"Dec 28, 2013 09:00 am",Saturday,280048,279949,79,20,99,15,13,27132,9.69%,35643,1427,0.51%,1733,399,45,0,0,521632cc76,"9,068.07%",$100.50,"$9,113.02",1885,673,15.774535809019,1.64%,04:53,6.58%,$0.00,116,6.15%,$4.83,$78.56
"Ark Naturals Deal (copy 01)","Still available:  92% off deal for dogs and cats.",PetFlow,"Dec 27, 2013 06:00 pm",Friday,256772,256651,103,18,121,6,3,15940,6.21%,22414,941,0.37%,1161,170,39,0,0,f698f11881,"3,554.20%",$92.14,"$3,274.95",1214,442,13.886326194399,3.71%,06:33,6.01%,$0.00,61,5.02%,$2.70,$53.69
"Ark Naturals Deal - Must See! (copy 03)","Available starting 8AM - 92% off deal for dogs and cats.","PetFlow Recurring Customers","Dec 27, 2013 06:00 pm",Friday,42805,42788,13,4,17,1,0,5058,11.82%,7021,359,0.84%,463,40,7,0,0,5d1a1681e7,"14,210.99%",$15.36,"$2,182.90",525,133,18.053333333333,1.71%,07:21,9.14%,$0.00,39,7.43%,$4.16,$55.97
"Save $15 (copy 03)","Private Deal: Save $15 - Details inside.",LifeScript,"Dec 27, 2013 09:35 am",Friday,64829,64795,23,11,34,0,0,3962,6.11%,5155,83,0.13%,103,74,21,0,0,c296d99785,356.34%,$23.26,$82.90,87,48,7.2068965517241,1.15%,03:37,3.45%,$0.00,1,1.15%,$0.95,$82.90
"Save $15 (copy 02)","Private Deal: Save $15 - Details inside.","Lifescript 2","Dec 27, 2013 09:35 am",Friday,93247,93192,45,10,55,3,0,6517,6.99%,9009,226,0.24%,273,186,55,0,0,e4113280b4,679.49%,$33.46,$227.37,258,146,8.1860465116279,0.78%,03:18,0.78%,$0.00,2,0.78%,$0.88,$113.69
"Save $15 (copy 01)","Private Deal: Save $15 - Details inside.","Facebook Sponsored","Dec 27, 2013 09:34 am",Friday,4215,4209,2,4,6,0,0,547,13.00%,725,40,0.95%,48,23,6,0,0,c8dc20e226,"8,518.01%",$1.51,$128.84,45,14,10.977777777778,0.00%,06:44,4.44%,$0.00,2,4.44%,$2.86,$64.42
"Save $15","Private Deal: Save $15 - Details inside.",PetFlow,"Dec 27, 2013 09:34 am",Friday,269851,269685,119,47,166,4,7,25727,9.54%,33748,1090,0.40%,1282,248,48,0,0,0a89c6a559,"7,577.54%",$96.84,"$7,337.82",1477,439,14.637102234259,1.83%,05:07,8.33%,$0.00,108,7.31%,$4.97,$67.94
"Ark Naturals Deal","Available starting 8AM - 92% off deal for dogs and cats.","Lifescript 2","Dec 26, 2013 08:15 am",Thursday,93500,93447,38,15,53,4,1,6592,7.05%,8734,183,0.20%,227,203,64,0,0,3699c1a5c0,"1,093.27%",$33.55,$366.82,199,112,11.804020100503,1.01%,06:20,5.53%,$0.00,8,4.02%,$1.84,$45.85
"Ark Naturals Deal","Available starting 8AM - 92% off deal for dogs and cats.",PetFlow,"Dec 26, 2013 08:00 am",Thursday,280677,280497,123,57,180,7,1,27074,9.65%,34806,1411,0.50%,1800,311,46,0,0,050b99bb05,"6,909.30%",$100.72,"$6,959.14",1805,517,15.816620498615,1.16%,06:51,9.14%,$0.00,133,7.37%,$3.86,$52.32
"Ark Naturals Deal - Must See!","Available starting 8AM - 92% off deal for dogs and cats.","Facebook Sponsored","Dec 26, 2013 08:00 am",Thursday,4238,4234,3,1,4,0,0,524,12.38%,705,51,1.20%,67,23,3,0,0,c2a2b4aabe,"13,010.80%",$1.52,$197.87,63,14,15.666666666667,0.00%,08:18,9.52%,$0.00,6,9.52%,$3.14,$32.98
"Ark Naturals Deal - Must See! (copy 01)","Available starting 8AM - 92% off deal for dogs and cats.","Pet Deals 2","Dec 26, 2013 08:00 am",Thursday,8103,8065,16,22,38,1,1,1315,16.31%,1811,75,0.93%,100,46,9,0,0,a67110cc14,"6,334.74%",$2.91,$184.20,83,51,10.759036144578,1.20%,06:26,6.02%,$0.00,5,6.02%,$2.22,$36.84
"Ark Naturals Deal - Must See! (copy 02)","Available starting 8AM - 92% off deal for dogs and cats.",LifeScript,"Dec 26, 2013 08:00 am",Thursday,64923,64896,21,6,27,1,0,4115,6.34%,5405,97,0.15%,116,69,33,0,0,c07420254c,397.72%,$23.30,$92.66,100,54,9.6,3.00%,05:38,3.00%,$0.00,3,3.00%,$0.93,$30.89
"Ark Naturals Deal - Must See!","Available starting 8AM - 92% off deal for dogs and cats.","PetFlow Recurring Customers","Dec 26, 2013 08:00 am",Thursday,50467,50446,15,6,21,1,0,8559,16.97%,11580,478,0.95%,593,68,8,0,0,646422db8d,"19,755.81%",$18.11,"$3,577.81",669,154,19.780269058296,1.05%,08:09,11.81%,$0.00,66,9.87%,$5.35,$54.21
"$25 off BLUE","One more chance to save up to $25 on Blue Buffalo.  Expires in 3 days.","Brand Lists","Dec 26, 2013 07:49 am",Thursday,20139,20118,11,10,21,2,1,2743,13.63%,3524,112,0.56%,140,67,10,0,0,cfbdd9bd42,"37,049.29%",$7.23,"$2,677.52",173,49,15.722543352601,0.58%,05:13,14.45%,$0.00,23,13.29%,$15.48,$116.41
"Natural Balance on SALE","BIG News - Natural Balance ON SALE!","Brand Lists","Dec 23, 2013 01:37 pm",Monday,11308,11236,28,44,72,0,0,2022,18.00%,2718,222,1.98%,266,53,10,0,0,e591ed0853,"47,955.16%",$4.06,"$1,945.97",297,97,13.181818181818,0.67%,04:37,9.76%,$0.00,24,8.08%,$6.55,$81.08
"Happy Holidays (copy 04)","Happy Holidays - Here's $5.00 for you!  Enjoy!!",LifeScript,"Dec 23, 2013 01:06 pm",Monday,65002,64970,21,11,32,2,0,4252,6.54%,5724,154,0.24%,187,50,21,0,0,a21034cc06,260.74%,$23.33,$60.82,169,92,7.698224852071,1.78%,02:33,1.18%,$0.00,2,1.18%,$0.36,$30.41
"Happy Holidays (copy 03)","Happy Holidays - Here's $5.00 for you!  Enjoy!!","Product Testers","Dec 23, 2013 12:57 pm",Monday,28523,28488,23,12,35,0,0,3312,11.63%,4952,213,0.75%,244,70,27,0,0,f69bfceb6e,"2,998.58%",$10.24,$306.92,278,101,8.7913669064748,3.24%,03:38,3.96%,$0.00,10,3.60%,$1.10,$30.69
"Happy Holidays !!","Happy Holidays - Here's $5.00 for you!  Enjoy!!","PetFlow Recurring Customers","Dec 23, 2013 12:38 pm",Monday,50491,50465,18,8,26,9,6,10013,19.84%,16433,700,1.39%,868,35,8,0,0,77a5b94212,"43,004.28%",$18.12,"$7,791.85",1108,203,16.976534296029,1.35%,05:45,13.45%,$0.00,118,10.65%,$7.03,$66.03
"Happy Holidays (copy 02)","Happy Holidays - Here's $5.00 for you!  Enjoy!!","Pet Deals","Dec 23, 2013 12:20 pm",Monday,17455,17442,7,6,13,3,1,1358,7.79%,1947,60,0.34%,65,16,7,0,0,0adb31bd0e,0.00%,$6.26,$0.00,60,36,8.7333333333333,1.67%,03:49,0.00%,$0.00,0,0.00%,$0.00,$0.00
