Title,Subject,List,"Send Date","Send Weekday","Total Recipients","Successful Deliveries","Soft Bounces","Hard Bounces","Total Bounces","Times Forwarded","Forwarded Opens","Unique Opens","Open Rate","Total Opens","Unique Clicks","Click Rate","Total Clicks",Unsubscribes,"Abuse Complaints","Times Liked on Facebook","Folder Id","Unique Id","Analytics ROI","Campaign Cost","Revenue Created",Visits,"New Visits",Pages/Visit,"Bounce Rate","Time on Site","Goal Conversion Rate","Per Visit Goal Value",Transactions,"Ecommerce Conversion Rate","Per Visit Value","Average Value"
"20% off Natural Balance (copy 02)","Special Offer: Save 20% on Natural Balance",PetFlow,"Feb 15, 2014 09:00 am",Saturday,293881,293768,73,40,113,2,2,25434,8.66%,31305,998,0.34%,1183,181,42,0,0,55ade3e13d,"9,536.16%",$105.46,"$10,056.80",1216,309,14.888980263158,1.07%,05:31,32.81%,$0.00,135,11.10%,$8.27,$74.49
"20% off Natural Balance (copy 03)","Special Offer: Save 20% on Natural Balance","Pet Deals","Feb 15, 2014 09:00 am",Saturday,16994,16976,13,5,18,0,0,1114,6.56%,1344,27,0.16%,35,13,8,0,0,9ebea994aa,"1,193.61%",$6.10,$72.79,31,14,11.032258064516,0.00%,04:41,9.68%,$0.00,1,3.23%,$2.35,$72.79
"20% off Natural Balance (copy 05)","Special Offer: Save 20% on Natural Balance",LifeScript,"Feb 15, 2014 09:00 am",Saturday,62765,62727,28,10,38,0,0,3592,5.73%,4312,58,0.09%,69,39,17,0,0,4b0843752f,"1,203.77%",$22.52,$271.13,66,25,11.833333333333,0.00%,06:35,18.18%,$0.00,4,6.06%,$4.11,$67.78
"Happy Valentine's Day!","♥♥♥ Happy Valentine's Day! HUGE Deal inside!! ♥♥♥",PetFlow,"Feb 14, 2014 09:56 am",Friday,280709,280586,82,41,123,6,4,26704,9.52%,34721,1926,0.69%,2315,211,28,0,0,00ac9fc403,"31,011.92%",$100.73,"$31,239.20",2357,618,16.726347051336,0.68%,06:41,51.68%,$0.00,405,17.18%,$13.25,$77.13
"Happy Valentine's Day! (copy 04)","♥♥♥ Happy Valentine's Day! HUGE Deal inside!! ♥♥♥",LifeScript,"Feb 14, 2014 09:30 am",Friday,62815,62783,29,3,32,1,0,3816,6.08%,4706,118,0.19%,149,44,8,0,0,1708098776,455.30%,$22.54,$102.63,132,47,6.8106060606061,0.76%,03:28,6.82%,$0.00,3,2.27%,$0.78,$34.21
"Happy Valentine's Day! (copy 03)","♥♥♥ Happy Valentine's Day! HUGE Deal inside!! ♥♥♥","Facebook Sponsored","Feb 14, 2014 09:26 am",Friday,7537,7526,9,2,11,0,0,746,9.91%,961,53,0.70%,61,11,3,0,0,fc8ae5b58a,"13,614.99%",$2.70,$368.24,60,14,11.633333333333,0.00%,04:45,30.00%,$0.00,6,10.00%,$6.14,$61.37
"Happy Valentine's Day! (copy 02)","♥♥♥ Happy Valentine's Day! HUGE Deal inside!! ♥♥♥","Lifescript 2","Feb 14, 2014 09:23 am",Friday,87653,87608,37,8,45,3,0,5648,6.45%,6973,181,0.21%,205,69,28,0,0,d37ee9f651,"2,284.13%",$31.45,$718.46,201,97,9.1791044776119,0.00%,04:02,10.45%,$0.00,7,3.48%,$3.57,$102.64
"Happy Valentine's Day! (copy 01)","♥♥♥ Happy Valentine's Day! HUGE Deal inside!! ♥♥♥","PetFlow Blog","Feb 14, 2014 09:23 am",Friday,12310,12276,6,28,34,0,0,976,7.95%,1337,77,0.63%,87,24,6,0,0,9d56abe5af,"5,824.61%",$4.42,$257.30,94,29,10.478723404255,6.38%,05:12,15.96%,$0.00,5,5.32%,$2.74,$51.46
"Bully Stick Sale (copy 01)","Bully Stick Sale ON NOW! Up to 81% off, Everything IN STOCK Now!",PetFlow,"Feb 13, 2014 09:00 am",Thursday,278026,277783,192,51,243,6,5,21772,7.84%,27697,1782,0.64%,2254,200,36,0,0,aa8ee960fb,"11,170.18%",$99.77,"$11,144.50",2202,575,9.4841053587648,1.14%,05:08,26.43%,$0.00,197,8.95%,$5.06,$56.57
"Bully Stick Sale (copy 01)","Bully Stick Sale ON NOW! Up to 81% off, Everything IN STOCK Now!","PetFlow Recurring Customers","Feb 13, 2014 09:00 am",Thursday,44389,44371,9,9,18,3,3,6114,13.78%,7736,480,1.08%,590,45,11,0,0,d9f8d27466,"25,455.67%",$15.93,"$4,054.85",610,108,12.126229508197,0.16%,05:35,32.46%,$0.00,65,10.66%,$6.65,$62.38
